"Character","Source","Name","Synchro Ability Slot","Synchro Condition","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","Synchro Condition ID"
"Snow","A Dream Revealed","NORA Domination","1","Ice","PHY","Single enemy","Physical","5.70","Ice, NE","1.65","Six single attacks (0.86/0.89/0.92/0.95 each) scaling with activations, 25/50/75/100% additional critical chance scaling with activations, grants [Monk +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Monk","ノラは誰よりも強い！","30548525","101"
"Snow","A Dream Revealed","Icicle Barrier","2","Monk","NAT","All allies","","","","0.01","Grants [50% Damage Reduction Barrier 1]","N","All allies","70","Monk","アイシクルバリア","30548526","9"
"Snow","Diamond Fist","Ascending Frost","1","Ice","PHY","Single enemy","Physical","7.20","Ice, NE","1.65","4/6/8 single attacks (0.90 each) scaling with activations","Y","Lowest HP% enemy","90","Monk","フロストアッパー","31540827","101"
"Snow","Diamond Fist","Heroic Spirit","2","Ice","NAT","Self","","","","0.01","Grants [Quick Cast 2], [100% Critical 2] and [Critical Damage +50% 2]","N","Self","70","Monk","ヒーロースピリット","31540828","101"
"Fang","Bahamut Assault","Hunting Dive","1","Wind","PHY","Single enemy","Physical","5.40","Wind, NE","1.50","Six single ranged jump attacks (0.90 each), air time (2.50 sec.), grants [Damage Cap +10000 1] to the user","Y","Lowest HP% enemy","90","Dragoon","ハンティングダイブ","30548410","104"
"Fang","Bahamut Assault","Axis Pivot","2","Dragoon","NAT","Self","","","","0.01","Grants [Jump Instant Cast 3] and [No Air Time 3]","N","Self","70","Dragoon","アクセルレイヴ","30548412","8"
"Vanille","Come On, Hecaton!","Pulse Proclivity","1","White Magic","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","パルスの作法","31540233","2"
"Vanille","Come On, Hecaton!","Quick","2","White Magic","NAT","All allies","","","","0.01","Grants [High Quick Cast 1]","N","All allies","70","Support","クイック","31540234","2"
"Vanille","Steel of Oath","Gaia's Gospel","1","White Magic","WHT","Single enemy","Magical","9.30","Earth, NE","1.65","Three single attacks (3.10 each), restores HP (17.50/20/25) to allies if 0-1/2-3/4+ allies have any Attach Earth","Y","Lowest HP% enemy","70","White Magic","ガイアの福音","31541400","2"
"Vanille","Steel of Oath","Gaia's Tidings","2","White Magic","WHT","Single ally","","","","0.01","Restores HP (55), grants [Resist Lightning 10% (5s)]","N","Lowest HP% ally","70","White Magic","ガイアの恩寵","31541401","2"
"Cid Raines","Last Destiny","Dark Marionette","1","Dark, Holy","BLK","Single enemy","Magical","17.40","Dark, Holy, NE","1.65","Six single attacks (2.90 each), 3.20 multiplier if the user has any Doom","Y","Lowest HP% enemy","90","Darkness","ダークマリオネット","31540310","2008"
"Cid Raines","Last Destiny","Seraphic Phase","2","Dark, Holy","BLK","Single enemy","Magical","9.15","Dark, Holy, NE","1.65","Three single attacks (3.05 each), grants [Quick Cast 3] to the user","Y","Lowest HP% enemy","90","Darkness","セラフィックフェーズ","31540311","2008"
"Noel","Future Remembrance","Shakedown","1","Ice, Water","PHY","Single enemy","Physical","5.40","Ice, Water, NE","1.65","Six single ranged attacks (0.90 each), causes [Imperil Ice 10% (5s)] and [Imperil Water 10% (5s)]","Y","Lowest HP% enemy","90","Sharpshooter","シェイクダウン","31540314","2007"
"Noel","Future Remembrance","Hunter's Poise","2","Ice, Water","PHY","Single enemy","Physical","0.90","Ice, Water, NE","0.01","One single ranged attack (0.90), causes [DEF, RES and MND -70% (8s)] if user has Last Ranger Form level 1, causes Last Ranger Form -1 to the user, grants [Quick Cast 2] to the user","Y","Lowest HP% enemy","60","Sharpshooter","ハンターズフォーム","31540315","2007"
"Hope","Dreadnought Rampage","Assessed Faith","1","Holy","SUM","Single enemy","Magical","24.40","Holy, NE","1.65","4/6/8 single attacks (3.05 each) scaling with activations, grants [Damage Cap +10000 1] to the user","N","Lowest HP% enemy","90","Summoning","希望の審判","31540475","106"
"Hope","Dreadnought Rampage","Pioneering Faith","2","Holy","NAT","Self","","","Holy, NE","0.01","Grants [Quick Cast 3] and [Holy Ability +30% Boost 3]","N","Self","70","Summoning","希望の開拓","31540476","106"
"Sazh","Dual Assault","Breaking Shot","1","Machinist, Support","PHY","Single enemy","Physical","5.40","Fire, Ice, Lightning, NE","1.65","Six single ranged attacks (0.90 each), grants [PHY +30% Boost 1] to all allies if 4+ XIII allies are alive","Y","Lowest HP% enemy","90","Machinist","ブレイクショット","31540831","1016"
"Sazh","Dual Assault","Triple Grit","2","Machinist, Support","PHY","Single enemy","Physical","5.40","Fire, Ice, Lightning, NE","1.65","Six single ranged attacks (0.90 each), grants [Quick Cast 1] to the user, grants [ATK, DEF, MAG and RES +15% (8s)] to all allies if the user has Paternal Instinct level 1, causes Paternal Instinct -1 to the user","Y","Lowest HP% enemy","90","Machinist","トライガッツ","31540832","1016"
"Sazh","Cool It, Will You?!","Triple Strike","1","Machinist, Support","PHY","Single enemy","Physical","5.40","Fire, Ice, Lightning, NE","1.65","Six single ranged attacks (0.90 each), grants [Buff Fire 10% (5s)], [Buff Ice 10% (5s)] and [Buff Lightning 10% (5s)] to all allies","Y","Lowest HP% enemy","90","Machinist","トライブロウ","31542772","1016"
"Sazh","Cool It, Will You?!","High Spirits","2","Machinist, Support","NAT","All allies","","","","0.01","Grants [Quick Cast 1]/[Instant Cast 1] and [ATK and MND +30%, DEF and RES +25% (8s)] to all allies if Mood Maker level 1, cause Mood Maker -1 to the user","N","All allies","70","Support","ハイブレイブ","31542773","1016"
"Alphinaud","Child of the Dawn","Moonstone Assault","1","Wind","SUM","Single enemy","Magical","18.30","Wind, NE","1.65","Six single attacks (3.05 each), grants [High Quick Cast 1] to the user","N","Lowest HP% enemy","90","Summoning","ムーンストーンアサルト","30543150","104"
"Alphinaud","Child of the Dawn","Relief Tactics (3 Aetherflow)","2","Wind","WHT","All allies","","","","0.01","Grants [75% Damage Reduction Barrier 1], grants smart ether 1 to the user, causes Aetherflow -1 to the user","N","All allies","90","White Magic","救援戦術","30543151","104"
"Alphinaud","Child of the Dawn","Relief Tactics (1/2 Aetherflow)","2","Wind","WHT","Single ally","","","","0.01","Restores HP (105), grants smart ether 1 to the user, causes Aetherflow -1 to the user","N","Single ally","90","White Magic","救援戦術","30543151","104"
"Alphinaud","Child of the Dawn","Relief Tactics (0 Aetherflow)","2","Wind","WHT","Self","","","","0.01","Grants Aetherflow +1 and smart ether 1","N","Self","90","White Magic","救援戦術","30543151","104"
"Alphinaud","Summon Moonstone","Moonstone Grace (1 Moonstone Boon)","1","White Magic, Summoning","NAT","All allies","","","","0.01","Grants [75% Damage Reduction Barrier 1], causes Moonstone Boon -1 to the user","N","All allies","70","White Magic","ムーンストーングレイス","30542668","1006"
"Alphinaud","Summon Moonstone","Moonstone Grace (0 Moonstone Boon)","1","White Magic, Summoning","NAT","Self","","","","0.01","Grants [MAG and MND +30% (25s)], grants Moonstone Boon +1 to the user","N","Self","70","White Magic","ムーンストーングレイス","30542668","1006"
"Alphinaud","Summon Moonstone","Thaliak's Wisdom (1 Moonstone Boon)","2","White Magic, Summoning","WHT","All allies","","","","1.65","Restores HP (25), grants [10% Damage Reduction Barrier 1]","N","All allies","100","White Magic","サリャクの英知","30542669","1006"
"Alphinaud","Summon Moonstone","Thaliak's Wisdom (0 Moonstone Boon)","2","White Magic, Summoning","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","サリャクの英知","30542669","1006"
"Alphinaud","Tri-Shackle","Painflare","1","Summoning","SUM","Single enemy","Magical","21.35","Wind, NE","1.65","5/7 single attacks (3.05 each) if the user has Aetherflow II level 0/1+, grants [Wind Ability +30% Boost 1] to the user if the user has Aetherflow II level >  0, causes Aetherflow II -1 to the user","N","Lowest HP% enemy","90","Summoning","ペインフレア","31541330","3"
"Alphinaud","Tri-Shackle","Ruin IV","2","Summoning","SUM","Single enemy","Magical","16.40","Wind, NE","1.65","One single attack (16.40) capped at 99999, grants [Instant Cast 1] to the user","N","Lowest HP% enemy","90","Summoning","ルインジャ","31541331","3"
"Y'shtola","Scion's Flare","Scion's Element","1","Witch, Black Magic","BLK","Single enemy","Magical","18.30","Fire, Ice, Lightning, Dark, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Witch","サイオンズ・エレメント","30549087","1004"
"Y'shtola","Scion's Flare","Scion's Despair (1 Enochian)","2","Witch, Black Magic","BLK","Single enemy","Magical","9.15","Fire, Ice, Lightning, Dark, NE","1.65","Three single attacks (3.05 each), grants [Magical Instant Cast 3] and [Magical +50% Boost 3] to the user, causes Enochian -1 to the user","Y","Lowest HP% enemy","90","Black Magic","サイオンズ・デスペア","30549088","1004"
"Y'shtola","Scion's Flare","Scion's Despair (0 Enochian)","2","Witch, Black Magic","BLK","Single enemy","Magical","18.30","Fire, Ice, Lightning, Dark, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","サイオンズ・デスペア","30549088","1004"
"Y'shtola","Scion's Afflatus","Thin Air","1","White Magic","WHT","Single ally","","","","0.01","Restores HP (105), grants [White Magic Heals +20% Boost 1] to the user","N","Lowest HP% ally","70","White Magic","シンエアー","31541311","2"
"Y'shtola","Scion's Afflatus","Afflatus Benison","2","White Magic, Black Magic","NAT","All allies","","","","0.01","Grants [Stoneskin: 10%]/[Dual Blink 1] if the user has Lilies level 0/1+, causes Lilies -1 to the user","N","All allies","70","White Magic","ハートオブベニゾン","31541312","1021"
"Alisaie","Heart and Steel","Black Mana Burst (1 Black Mana)","1","Black Magic","BLK","Single enemy","Magical","28.30","Fire, Wind, Lightning, NE","1.65","Six single attacks (3.05 each), followed by one single attack (10.00) capped at 99999, causes Black Mana -1 to the user","Y","Lowest HP% enemy","90","Black Magic","ブラックマナバースト","30541556","1"
"Alisaie","Heart and Steel","Black Mana Burst (0 Black Mana)","1","Black Magic","BLK","Single enemy","Magical","18.30","Wind, Lightning, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","ブラックマナバースト","30541556","1"
"Alisaie","Heart and Steel","Jolt II","2","Black Magic","BLK","Single enemy","Magical","9.15","Wind, Lightning, NE","1.65","Three single attacks (3.05 each), grants [Black Magic +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Black Magic","ジョルラ","30541557","1"
"Estinien","Black Dragon Dive","High Jump (XIV)","1","Dragoon","PHY","Single enemy","Physical","5.40","Wind, Dark, NE","1.50","Six single ranged jump attacks (0.90 each)","Y","Lowest HP% enemy","90","Dragoon","ハイジャンプ【XIV】","31540204","8"
"Estinien","Black Dragon Dive","Mirage Dive","2","Wind, Dark","PHY","Single enemy","Physical","2.70","Wind, Dark, NE","1.65","Three single ranged attacks (0.90 each), grants [Dragoon Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Dragoon","ミラージュダイブ","31540205","2004"
"Papalymo","A New Beginning","Scion's Foul","1","Fire","BLK","Single enemy","Magical","18.30","Fire, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","サイオンズ・ファウル","31540420","100"
"Papalymo","A New Beginning","Triplecast Fire IV","2","Fire","BLK","Single enemy","Magical","9.15","Fire, NE","1.65","Three single attacks (3.05 each), grants [Fire Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Black Magic","三連魔ファイジャ","31540421","100"
"Ysayle","Oblivion (XIV)","Glass Dance","1","Ice","SUM","Single enemy","Magical","24.40","Ice, NE","1.65","4/8 single attacks (3.05 each) if the user hasn't/has Icy Vessel, grants [Quick Cast 1] if the user hasn't Icy Vessel","N","Lowest HP% enemy","90","Summoning","氷雪乱舞","31540432","101"
"Ysayle","Oblivion (XIV)","Heavenly Strike","2","Ice","SUM","Single enemy","Magical","16.40","Ice, NE","1.65","One single attack (16.40) capped at 99999, grants [Quick Cast 1], restores 1 consumed ability use to the user","N","Lowest HP% enemy","90","Summoning","ヘヴンリーストライク","31540433","101"
"Thancred","Assassinate","Final Edge","1","Ninja","NAT","Single enemy","Hybrid","-","Earth, Wind, Poison, NE","0.83","Six single hybrid attacks (0.80 or 411.75 each)","Y","Lowest HP% enemy","70","Ninja","終刃旋","31540530","13"
"Thancred","Assassinate","Arcing Blade","2","Ninja","NAT","Single enemy","Hybrid","-","Earth, Wind, Poison, NE","0.01","One single ranged hybrid attack (0.80 or 408.00), grants [Ninja +30% Boost 3] to the user","Y","Lowest HP% enemy","60","Ninja","昇投刃","31540531","13"
"Yda","Dearest Companion","Cinder-Crushing Fist","1","Monk","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Monk","炎塵破砕拳","31540522","9"
"Yda","Dearest Companion","Polarizing Chakras","2","Monk","NAT","Self","","","","0.01","Grants [Fire Ability +10% Boost 1]/[Fire Ability +15% Boost 1]/[Fire Ability +30% Boost 1]/[Fire Ability +50% Boost 1] and [Damage Cap +10000 1] if the user has Chakra level 0/1/2/3, removes [Chakra] from the user","N","Self","70","Monk","陰陽闘気","31540523","9"
"Haurchefant","Passage of Arms","Sword Within","1","Knight","PHY","Single enemy","Physical","5.22","Holy, Ice, NE","1.65","Six single attacks (0.87/0.93 each) if the user hasn't/has any Damage Reduction Barrier","Y","Lowest HP% enemy","90","Knight","ソードウィズイン","31540526","11"
"Haurchefant","Passage of Arms","Knight's Veil","2","Knight","PHY","Single enemy","Physical","2.70","Holy, Ice, NE","1.65","Three single attacks (0.90 each), grants [50% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","90","Knight","ナイトヴェール","31540527","11"
"Minfilia","Will of the Light","The Mothercrystal","1","Knight","NAT","Self","","","","1.65","Grants [Quick Cast 1]","N","Self","180","Support","母なるクリスタル","31540734","11"
"Minfilia","Will of the Light","Aetherial Guidance","2","White Magic","NAT","Single ally","","","","1.65","Grants [40% Damage Reduction Barrier 1] and [Instant Cast 1], grants [Damage Cap +10000 1] if the user has Will of Light > 0, causes Will of Light -1 to the user","N","Lowest HP% ally","100","Support","星海の導き","31540735","2"
"Cid (XIV)","Garlond Overload","Garlond Autoturret","1","Machinist","PHY","Single enemy","Physical","5.40","Fire, Earth, Wind, Poison, NE","1.65","Six single ranged attacks (0.90 each), grants [Machinist +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Machinist"," G・オートタレット","31540949","16"
"Cid (XIV)","Garlond Overload","Garlond Overdrive","2","Machinist","PHY","Single enemy","Physical","0.80","Fire, Earth, Wind, Poison, NE","0.01","One single ranged attack (0.80), causes [Imperil Fire 10% (5s)], [Imperil Earth 10% (5s)], [Imperil Wind 10% (5s)] and [Imperil Poison 10% (5s)]","Y","Lowest HP% enemy","60","Machinist","G・オーバードライブ","31540950","16"
"Lunafreya","For the King","Endless Torrent","1","Water","SUM","Single enemy","Magical","18.00","Water, Holy, NE","1.65","Six single attacks (3.00 each), grants [High Quick Cast 1] to the user","N","Lowest HP% enemy","90","Summoning","無尽の奔流","30543168","105"
"Lunafreya","For the King","Glimmer of Purity","2","White Magic","WHT","Single ally","","","","0.01","Restores HP (105), smart ether 1 to the user","N","Lowest HP% ally","90","White Magic","浄化の耀き","30543169","2"
"Lunafreya","Oracle's Decree","Hydraean's Mercy","1","Summoning","SUM","Single enemy","Magical","18.30","Water, Holy, NE","1.65","Six single attacks (3.05 each), smart ether 1 to the user","N","Lowest HP% enemy","90","Summoning","水神の慈悲","31540693","3"
"Lunafreya","Oracle's Decree","Ceremonial Pledge","2","White Magic, Summoning","NAT","Self","","","","0.01","Grants [Quick Cast 3], restores HP (25) to all allies and grants [Pain -2] to all allies if the user has Oracle's Duty level 1, sets the user's Oracle's Duty level to 0","N","Self","70","White Magic","誓約の儀","31540694","1006"
"Noctis","True Ignis Link","Glide Flame","1","Fire","PHY","Single enemy","Physical","6.00","Fire, NE","1.20","Six single attacks (0.85/0.90/0.95/1.00 each) at Phantom Flame 0/1/2/3, grants [Instant ATB 1] if user has at least 1 Phantom Flame","Y","Lowest HP% enemy","70","Celerity","グライドフレイム","30546110","100"
"Noctis","True Ignis Link","Tricky Flame","2","Fire","PHY","Single enemy","Physical","2.40","Fire, NE","0.83","Three single attacks (0.80 each), grants [High Quick Cast 1] to the user","Y","Lowest HP% enemy","70","Celerity","トリッキーフレイム","30546111","100"
"Noctis","True Gladiolus Link","Heavy Impact","1","Earth","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each), 20% additional critical damage","Y","Lowest HP% enemy","90","Combat","ヘヴィインパクト","31540195","103"
"Noctis","True Gladiolus Link","Tempest Charge","2","Earth","NAT","Self","","","","0.01","Grants [Heavy Charge +1]","N","Self","70","Heavy","テンペストチャージ","31540196","103"
"Noctis","True Prompto Link","Graceful Charge","1","Lightning","PHY","Single enemy","Physical","6.30","Lightning, NE","1.65","3/7 single attacks (1.80/0.90 each) if the user has Rightful Heir level 0/1, grants [Graceful Charge Damage Cap +20000 1]/[100% Critical 2] to the user if the user has Rightful Heir level 0/1, causes Rightful Heir -1 to the user","Y","Lowest HP% enemy","90","Combat","グレイスチャージ","31540946","102"
"Noctis","True Prompto Link","Step Breaker","2","Lightning","PHY","Single enemy","Physical","2.40","Lightning, NE","1.20","Three single attacks (0.80 each), grants [Instant Cast 1] and Rightful Heir +1 to the user","Y","Lowest HP% enemy","70","Celerity","ステップブレイカー","31540947","102"
"Ignis","Sage's Hellfire","Searing Concoction","1","Thief","PHY","Single enemy","Physical","5.40","Fire, NE","1.20","Six single attacks (0.90 each)","Y","Lowest HP% enemy","70","Thief","灼熱の調理","30544394","10"
"Ignis","Sage's Hellfire","Supreme Strategy (3 Comp.)","2","Fire","NAT","All allies","","","","1.65","Grants [50% Critical (15s)], causes Components -1 to the user","N","All allies","90","Support","至高の軍略","30544395","100"
"Ignis","Sage's Hellfire","Supreme Strategy (2 Comp.)","2","Fire","NAT","All allies","","","","1.65","Grants [Buff Fire 10% (15s)], causes Components -1 to the user","N","All allies","90","Support","至高の軍略","30544395","100"
"Ignis","Sage's Hellfire","Supreme Strategy (1 Comp.)","2","Fire","NAT","All allies","","","","1.65","Grants [100% Critical (15s)], causes Components -1 to the user","N","All allies","90","Support","至高の軍略","30544395","100"
"Ignis","Sage's Hellfire","Supreme Strategy (0 Comp.)","2","Fire","NAT","Self","","","","1.65","Grants [Critical Damage +50% 2]","N","Self","90","Support","至高の軍略","30544395","100"
"Gladiolus","Wild Tempest","Orbital Strike","1","Earth","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Knight","オービタルストライク","30548741","103"
"Gladiolus","Wild Tempest","Orbital Shield","2","Earth","PHY","Single enemy","Physical","2.70","Earth, NE","1.65","Three single attacks (0.90 each), grants [50% Damage Reduction Barrier 1] to the user","Y","Lowest HP% enemy","90","Knight","オービタルシールド","30548742","103"
"Prompto","Miracle Trigger","Drill Break Shot","1","Lightning","PHY","Single enemy","Physical","6.30","Lightning, NE","1.65","Seven single ranged attacks (0.90 each)","Y","Lowest HP% enemy","90","Machinist","ドリルブレイクショット","31540156","102"
"Prompto","Miracle Trigger","Thunder Trigger","2","Lightning","NAT","Self","","","","0.01","Grants [Dualcast Lightning 1] and [Quick Cast 1], causes [Imperil Lightning 10% (15s)] every second activation","N","Self","70","Machinist","トリガーサンダー","31540157","102"
"Iris","Pocket Mega-Potion","Step Potion","1","White Magic, Monk","WHT","Single ally","","","","0.83","Restores HP (105), grants [White Magic Heals +10% Boost 1] and [133% Quick Cast 1]/[White Magic Heals +20% Boost 1] and [Quick Cast 1]/[White Magic Heals +30% Boost 1] and [High Quick Cast 1] scaling with activations","N","Lowest HP% ally","80","White Magic","ステップポーション","31540153","1007"
"Iris","Pocket Mega-Potion","Heartening Potion","2","White Magic","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","ポーションエール","31540154","2"
"Ardyn","Mega Death","Phantom Slash","1","Dark, Fire","PHY","Single enemy","Physical","7.20","Dark, Fire, NE","1.65","4/6/8 single attacks (0.90 each) scaling with uses, cast time 1.65/1.10/0.825 scaling with uses","Y","Lowest HP% enemy","80","Darkness","ファントムスラッシュ","31540149","2003"
"Ardyn","Mega Death","Phantom Burst","2","Dark, Fire","PHY","Single enemy","Physical","5.04","Dark, Fire, NE","0.83","One single attack (5.04) capped at 99999, grants [Dark/Fire Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Darkness","ファントムバースト","31540150","2003"
"Aranea","Spearouette","Magitek Jump","1","Dragoon","PHY","Single enemy","Physical","6.30","Lightning, Dark, NE","1.50","Seven single ranged jump attacks (0.90 each), air time (2.50 sec.)","Y","Lowest HP% enemy","90","Dragoon","魔導ジャンプ","31540697","8"
"Aranea","Spearouette","Tech Boost","2","Dragoon","NAT","Self","","","","0.01","Grants [Lightning Ability +30% Boost 3]","N","Self","70","Dragoon","コマンドブースト","31540698","8"
"Cor","Immortal's Call","Immortal Flourish of Steel","1","Samurai","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single attacks (0.90 each), 100% additional critical chance if user has [Retaliate] or [High Retaliate], removes [Retaliate] and [High Retaliate] from the user","Y","Lowest HP% enemy","90","Samurai","不死連閃","31540701","12"
"Cor","Immortal's Call","Lion's Luster","2","Samurai","PHY","Single enemy","Physical","6.00","Fire, NE","1.65","One single attack (6.00) capped at 99999, grants [High Retaliate] to the user","Y","Lowest HP% enemy","90","Samurai","獅子一閃","31540702","12"
"Ravus","Hateful Onslaught","Dark Coil","1","Lightning, Dark","PHY","Single enemy","Physical","5.40","Lightning, Dark, NE","1.65","Six single attacks (0.90 each), 100% additional critical chance if 4+ party members have any Attach Lightning or Attach Dark, grants [Quick Cast 1] and [(Lightning/Dark) Ability +50% Boost] to the user","Y","Lowest HP% enemy","90","Spellblade","旋廻の黒雷","31541473","2002"
"Ravus","Hateful Onslaught","Flashing Fury","2","Lightning, Dark","PHY","Single enemy","Physical","0.80","Lightning, Dark, NE","0.01","One single attack (0.80), grants [Conditional Attach Element] (based on the Attach Element of the user) to a random ally without any Attach Element, grants [Conditional Attach Element] and [Quick Cast 1] to the user if all allies have any Attach Element","Y","Lowest HP% enemy","60","Spellblade","憤怒の剣閃","31541474","2002"
"Orlandeau","Seiken Perfection","Saintly Swordplay","1","Holy","PHY","Single enemy","Physical","5.70","Holy, NE","1.65","Six single attacks (0.86/0.89/0.92/0.95 each) scaling with activations, 25/50/75/100% additional critical chance scaling with activations","Y","Lowest HP% enemy","90","Knight"," 剣技・聖閃","30548542","106"
"Orlandeau","Seiken Perfection","Thunder God's Epiphany","2","Knight","NAT","Self","","","","1.65","Grants [Thunder God's Might]","N","Self","100","Knight","雷神開眼","30548543","11"
"Orlandeau","Shadowblade Perfection","Dark Path Swordplay","1","Dark, Earth","PHY","Single enemy","Physical","5.40","Dark, Earth, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Knight","剣技・闇路","31540799","2014"
"Orlandeau","Shadowblade Perfection","Gloaming Swordplay","2","Dark, Earth","PHY","Single enemy","Physical","2.70","Dark, Earth, NE","1.65","Three single attacks (0.90 each), grants [100% Critical 2] to the user","Y","Lowest HP% enemy","90","Knight","剣技・暗転","31540800","2014"
"Gaffgarion","Dark End","Stygian Feat","1","Dark","PHY","Single enemy","Physical","5.40","Dark, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","120","Darkness","漆黒の妙技","30544380","107"
"Gaffgarion","Dark End","Guileful Blow","2","Dark","PHY","Single enemy","Physical","6.00","Dark, NE","1.65","1/1/2 single attacks (4.00/4.00/3.00 each) capped at 99999, 0/100/100% additional critical chance if user has 0/750/1500 Soul Break points, causes [Soul Break Gauge -250] if user has 1500 Soul Break points","Y","Lowest HP% enemy","90","Darkness","老獪なる一撃","30544381","107"
"Ramza","Brave Story","True Hero's Blade","1","Knight","PHY","Single enemy","Physical","5.40","Holy, NE","1.65","Six single attacks (0.90 each), grants Vigilance +1 to the user","Y","Lowest HP% enemy","90","Knight","超おうえん","30548743","11"
"Ramza","Brave Story","Ultra Boost","2","Holy","NAT","All allies","","","","1.65","Grants [Instant Cast 2]/[Critical Damage +50% 2]/[100% Critical] to the user/all allies/all allies at Vigilance level 0/1/2, removes Vigilance from the user","N","All allies","100","Knight","超おうえん","30548744","106"
"Orran","Stargazer","Essential Dignity","1","White Magic","WHT","Single ally","","","","1.65","Restores HP (55), grants [Instant Cast 1]","N","Lowest HP% ally","100","White Magic","ディグニティ","30542665","2"
"Orran","Stargazer","Celestial Intersection","2","Bard, White Magic","WHT","Single ally","","","","0.01","Restores HP (105)","N","Lowest HP% ally","70","White Magic","星天交差","30542666","1005"
"Delita","Hero-King's Ruination","Quad-Element Strike","1","Spellblade, Knight","PHY","Single enemy","Physical","5.40","Holy, Fire, Lightning, Ice, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Spellblade","聖炎氷雷斬","31540428","1008"
"Delita","Hero-King's Ruination","Quad-Element Blast","2","Spellblade, Knight","PHY","Single enemy","Physical","2.70","Holy, Fire, Lightning, Ice, NE","1.65","Three single attacks (0.90 each), grants [Spellblade/Knight +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Spellblade","聖炎氷雷破","31540429","1008"
"Agrias","Last Judgment Blade","Gift of Loyalty","1","Holy","PHY","Single enemy","Physical","5.40","Holy, NE","1.65","Six single attacks (0.90 each), causes [Imperil Holy 10% (5s)]","Y","Lowest HP% enemy","90","Knight","忠の神技","31540436","106"
"Agrias","Last Judgment Blade","Gift of Faith","2","Holy","NAT","Self","","","","0.01","Grants [High Quick Cast 1] and [Dualcast Holy 1]","N","Self","70","Knight","信の神技","31540437","106"
"Alma","Chant of Devotion","Angelic Gift","1","White Magic","NAT","All allies","","","","0.01","Grants [10% Damage Reduction Barrier 1]/[Magical Blink 1]/[50% Damage Reduction Barrier 1] and [Astra] at Sacred Souls level 0/1/2, causes Sacred Souls -0/-1/-2 to the user","N","All allies","70","White Magic","聖天使の天稟","31540439","2"
"Alma","Chant of Devotion","Brother's Teachings","2","White Magic","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","兄に教わりし魔法","31540440","2"
"Ovelia","Ethereal Princess","Sister's Plea","1","White Magic","WHT","Single ally","","","","0.01","Restores HP (105), grants [Resist Dark 20% (5s)]","N","Lowest HP% ally","70","White Magic","修道女の信頼","31540803","2"
"Ovelia","Ethereal Princess","Tender Prayer","2","White Magic","WHT","All allies","","","","1.65","Restores HP (55) if the user has Queen's Reign level 1, restores HP (25) if the user has Queen's Reign level 0, causes Queen's Reign -1 to the user","N","All allies","100","White Magic","優しき王女の祈り","31540804","2"
"Meliadoul","Shatter Weapon","Avenging Blade","1","Earth, Holy","PHY","Single enemy","Physical","5.70","Earth, Holy, NE","1.65","Six single attacks (0.86/0.89/0.92/0.95 each) scaling with activations, 25%/50%/75%/100% additional critical chance scaling with activations","Y","Lowest HP% enemy","90","Knight","復讐の剛剣","31540822","2013"
"Meliadoul","Shatter Weapon","Alliance Blade","2","Earth, Holy","PHY","Single enemy","Physical","0.90","Earth, Holy, NE","1.65","One single attack (0.90), grants [Quick Cast 2] and [Knight +30% Boost 2] to the user","Y","Lowest HP% enemy","90","Knight","共闘の剛剣","31540823","2013"
"Montblanc","100% Wool","Chocobo Rush","1","Black Magic, Dancer","BLK","Single enemy","Magical","","","1.65","One single attack that deals 50000/99999 damage if the user has Antilaws level 0/1, causes Antilaws -1 to the user","Y","Lowest HP% enemy","100","Black Magic","チョコボの暴走","31540808","1015"
